2022-01-29 00:00:00,37770.15
2022-01-30 00:00:00,38186.49
2022-01-31 00:00:00,37918.62
2022-02-01 00:00:00,38521.79
2022-02-02 00:00:00,38739.74
2022-02-03 00:00:00,36912.68
2022-02-04 00:00:00,37092.4
2022-02-05 00:00:00,41584.19
2022-02-06 00:00:00,41435.43
2022-02-07 00:00:00,42450.98
2022-02-08 00:00:00,43834.02
2022-02-09 00:00:00,44133.28
2022-02-10 00:00:00,44397.3
2022-02-11 00:00:00,43531.11
2022-02-12 00:00:00,42401.27
2022-02-13 00:00:00,42245.56
2022-02-14 00:00:00,42104.89
2022-02-15 00:00:00,42580.94
2022-02-16 00:00:00,44536.2
2022-02-17 00:00:00,43948.81
2022-02-18 00:00:00,40565.69
2022-02-19 00:00:00,40014.55
2022-02-20 00:00:00,40115.05
2022-02-21 00:00:00,38382.32
2022-02-22 00:00:00,37031.08
2022-02-23 00:00:00,38262.17
2022-02-24 00:00:00,37291.48
2022-02-25 00:00:00,38344.78
2022-02-26 00:00:00,39222.6
2022-02-27 00:00:00,39103.91
2022-02-28 00:00:00,37704.56
2022-03-01 00:00:00,43226.36
2022-03-02 00:00:00,44418.83
2022-03-03 00:00:00,43934.85
2022-03-04 00:00:00,42464.4
2022-03-05 00:00:00,39141.25
2022-03-06 00:00:00,39399.58
2022-03-07 00:00:00,38407.69
2022-03-08 00:00:00,38032.5
2022-03-09 00:00:00,38753.1
2022-03-10 00:00:00,41956.53
2022-03-11 00:00:00,39437.89
2022-03-12 00:00:00,38741.04
2022-03-13 00:00:00,38809.18
2022-03-14 00:00:00,37820.39
2022-03-15 00:00:00,39680.6
2022-03-16 00:00:00,39320.82
2022-03-17 00:00:00,41133.08
2022-03-18 00:00:00,40946.78
2022-03-19 00:00:00,41795.77
2022-03-20 00:00:00,42222.32
2022-03-21 00:00:00,41250.83
2022-03-22 00:00:00,41071.41
2022-03-23 00:00:00,42372.67
2022-03-24 00:00:00,42905.06
2022-03-25 00:00:00,44004.47
2022-03-26 00:00:00,44334.33
2022-03-27 00:00:00,44542.39
2022-03-28 00:00:00,46858.53
2022-03-29 00:00:00,47115.93
2022-03-30 00:00:00,47448.01
2022-03-31 00:00:00,47064.16
2022-04-01 00:00:00,45539.22
2022-04-02 00:00:00,46282.56
2022-04-03 00:00:00,45825.36
2022-04-04 00:00:00,46425.52
2022-04-05 00:00:00,46611.26
2022-04-06 00:00:00,45508.16
2022-04-07 00:00:00,43190.18
2022-04-08 00:00:00,43464.32
2022-04-09 00:00:00,42278.94
2022-04-10 00:00:00,42787.69
2022-04-11 00:00:00,42144.23
2022-04-12 00:00:00,39488.62
2022-04-13 00:00:00,40102.2
2022-04-14 00:00:00,41148.06
2022-04-15 00:00:00,39939.9
2022-04-16 00:00:00,40566.2
2022-04-17 00:00:00,40388.78
2022-04-18 00:00:00,39711.45
2022-04-19 00:00:00,40805.72
2022-04-20 00:00:00,41507.3
2022-04-21 00:00:00,41375.79
2022-04-22 00:00:00,40514.01
2022-04-23 00:00:00,39727.65
2022-04-24 00:00:00,39429.01
2022-04-25 00:00:00,39465.57
2022-04-26 00:00:00,40472.7
2022-04-27 00:00:00,38114.94
2022-04-28 00:00:00,39249.28
2022-04-29 00:00:00,39770.04
2022-04-30 00:00:00,38596.28
2022-05-01 00:00:00,37661.19
2022-05-02 00:00:00,38475.48
2022-05-03 00:00:00,38510.65
2022-05-04 00:00:00,37727.19
2022-05-05 00:00:00,39674.89
2022-05-06 00:00:00,36549.9
2022-05-07 00:00:00,36013.03
2022-05-08 00:00:00,35471.42
2022-05-09 00:00:00,34082.21
2022-05-10 00:00:00,30175.71
2022-05-11 00:00:00,31003.93
2022-05-12 00:00:00,28907.15
2022-05-13 00:00:00,28931.14
2022-05-14 00:00:00,29234.06
2022-05-15 00:00:00,30074.61
2022-05-16 00:00:00,31277.43
2022-05-17 00:00:00,29834.09
2022-05-18 00:00:00,30406.69
2022-05-19 00:00:00,28680.97
2022-05-20 00:00:00,30289.87
2022-05-21 00:00:00,29159.5
2022-05-22 00:00:00,29409.92
2022-05-23 00:00:00,30278.94
2022-05-24 00:00:00,29074.33
2022-05-25 00:00:00,29634.57
2022-05-26 00:00:00,29518.59
2022-05-27 00:00:00,29193.92
2022-05-28 00:00:00,28578.89
2022-05-29 00:00:00,29013.69
2022-05-30 00:00:00,29448.74
2022-05-31 00:00:00,31715.58
2022-06-01 00:00:00,31776.27
2022-06-02 00:00:00,29780.81
2022-06-03 00:00:00,30429.88
2022-06-04 00:00:00,29681.76
2022-06-05 00:00:00,29845.23
2022-06-06 00:00:00,29901.35
2022-06-07 00:00:00,31349.82
2022-06-08 00:00:00,31117.83
2022-06-09 00:00:00,30189.25
2022-06-10 00:00:00,30083.46
2022-06-11 00:00:00,29059.41
2022-06-12 00:00:00,28344.5
2022-06-13 00:00:00,26593.3
2022-06-14 00:00:00,22431.22
2022-06-15 00:00:00,22189.29
2022-06-16 00:00:00,22550.79
2022-06-17 00:00:00,20350.48
2022-06-18 00:00:00,20434.75
2022-06-19 00:00:00,18977.51
2022-06-20 00:00:00,20540.38
2022-06-21 00:00:00,20582.29
2022-06-22 00:00:00,20703.51
2022-06-23 00:00:00,19953.71
2022-06-24 00:00:00,21088.3
2022-06-25 00:00:00,21194.68
2022-06-26 00:00:00,21481.38
2022-06-27 00:00:00,21020.04
